t,true_x,true_y,true_vx,true_vy,imu_ax,imu_ay,sign_x,sign_y,sign_id
9.7,114.9550,-1.7988,10.3000,-0.0644,-1.3802,0.2483,,,
9.8,115.9800,-1.8051,10.2000,-0.0621,-1.0832,0.1656,,,
9.9,116.9950,-1.8112,10.1000,-0.0594,-0.4516,0.0696,,,
10.0,118.0000,-1.8170,10.0000,-0.0565,-0.6660,-0.0692,,,
10.1,118.9950,-1.8225,9.9000,-0.0533,-0.7565,-0.3039,,,
10.2,119.9800,-1.8277,9.8000,-0.0498,-1.0384,0.1624,,,
10.3,120.9550,-1.8324,9.7000,-0.0461,-1.1430,-0.5234,,,
10.4,121.9200,-1.8369,9.6000,-0.0421,-1.2938,-0.1127,,,
10.5,122.8750,-1.8409,9.5000,-0.0380,-0.6001,0.3036,,,
10.6,123.8200,-1.8444,9.4000,-0.0337,-0.8588,0.0787,,,
10.7,124.7550,-1.8476,9.3000,-0.0292,-0.6547,-0.8250,,,
10.8,125.6800,-1.8503,9.2000,-0.0245,-0.9754,0.7949,,,
10.9,126.5950,-1.8525,9.1000,-0.0198,-0.7655,0.0897,,,
11.0,127.5000,-1.8542,9.0000,-0.0149,-1.2539,-0.2241,,,
11.1,128.3950,-1.8555,8.9000,-0.0100,-0.5499,0.5090,,,
11.2,129.2800,-1.8562,8.8000,-0.0050,-0.8288,-0.0433,,,
11.3,130.1550,-1.8565,8.7000,-0.0000,-1.2490,0.3212,,,
11.4,131.0200,-1.8562,8.6000,0.0050,-1.1823,0.1525,,,
11.5,131.8750,-1.8555,8.5000,0.0099,-1.0797,0.1761,,,
11.6,132.7200,-1.8542,8.4000,0.0149,-1.4664,0.3664,,,
11.7,133.5550,-1.8525,8.3000,0.0197,-1.1057,-0.1061,,,
11.8,134.3800,-1.8503,8.2000,0.0245,-0.4985,-0.1411,,,
11.9,135.1950,-1.8476,8.1000,0.0291,-1.0507,-0.4664,135.241,-2.106,6
12.0,136.0000,-1.8445,8.0000,0.0336,0.2893,0.2896,,,
12.1,136.8000,-1.8409,8.0000,0.0379,-0.2879,-0.0115,,,
12.2,137.6000,-1.8369,8.0000,0.0421,-0.2954,0.3801,,,
12.3,138.4000,-1.8325,8.0000,0.0460,-0.1482,0.1717,,,
12.4,139.2000,-1.8277,8.0000,0.0497,0.2577,-0.0047,,,
12.5,140.0000,-1.8226,8.0000,0.0532,-0.3591,-0.1624,,,
12.6,140.8000,-1.8171,8.0000,0.0564,0.6437,0.4440,,,
12.7,141.6000,-1.8113,8.0000,0.0594,-0.2287,-0.0536,,,
12.8,142.4000,-1.8052,8.0000,0.0620,0.0645,-0.3749,,,
12.9,143.2000,-1.7989,8.0000,0.0644,-0.0072,0.0127,,,
13.0,144.0000,-1.7924,8.0000,0.0664,0.0562,-0.0094,,,
13.1,144.8000,-1.7857,8.0000,0.0681,-0.1991,-0.1408,,,
13.2,145.6000,-1.7788,8.0000,0.0695,-0.2395,-0.2274,,,
13.3,146.4000,-1.7718,8.0000,0.0705,0.2471,-0.1715,,,
13.4,147.2000,-1.7647,8.0000,0.0712,-0.1775,0.6567,,,
13.5,148.0000,-1.7576,8.0000,0.0716,-0.0235,-0.0065,,,
13.6,148.8000,-1.7504,8.0000,0.0716,-0.5688,0.3841,,,
13.7,149.6000,-1.7433,8.0000,0.0712,0.2577,0.0830,,,
13.8,150.4000,-1.7362,8.0000,0.0705,0.3943,0.4071,,,
13.9,151.2000,-1.7292,8.0000,0.0695,0.1397,-0.0302,,,
14.0,152.0000,-1.7223,8.0000,0.0681,0.0743,0.2577,,,
14.1,152.8000,-1.7156,8.0000,0.0664,0.3065,-0.4149,,,
14.2,153.6000,-1.7090,8.0000,0.0644,0.4627,-0.0067,,,
14.3,154.4000,-1.7027,8.0000,0.0620,-0.0541,0.0429,,,
14.4,155.2000,-1.6966,8.0000,0.0594,0.3874,-0.2424,,,
14.5,156.0000,-1.6909,8.0000,0.0564,0.4884,-0.1213,,,
14.6,156.8000,-1.6854,8.0000,0.0532,-0.1792,0.4162,,,
14.7,157.6000,-1.6802,8.0000,0.0497,0.0372,0.0340,,,
14.8,158.4000,-1.6754,8.0000,0.0460,-0.0662,0.0084,,,
14.9,159.2000,-1.6710,8.0000,0.0421,-0.0178,-0.2439,,,
15.0,160.0000,-1.6670,8.0000,0.0379,-0.2532,-0.5935,161.659,-1.716,7
15.1,160.8000,-1.6635,8.0000,0.0336,0.8385,-0.4246,,,
15.2,161.6000,-1.6603,8.0000,0.0291,0.0418,0.1426,,,
15.3,162.4000,-1.6576,8.0000,0.0245,-0.3227,-0.5471,,,
15.4,163.2000,-1.6554,8.0000,0.0197,-0.3438,-0.1527,,,
15.5,164.0000,-1.6537,8.0000,0.0149,-0.1487,-0.0471,,,
15.6,164.8000,-1.6525,8.0000,0.0099,-0.1080,0.2577,,,
15.7,165.6000,-1.6517,8.0000,0.0050,-0.3223,-0.0694,,,
15.8,166.4000,-1.6515,8.0000,-0.0000,-0.2419,-0.1256,,,
15.9,167.2000,-1.6517,8.0000,-0.0050,0.6217,0.1407,,,
16.0,168.0000,-1.6525,8.0000,-0.0100,0.0848,0.0020,,,
16.1,168.8000,-1.6537,8.0000,-0.0149,0.3886,0.0303,,,
16.2,169.6000,-1.6555,8.0000,-0.0198,-0.6652,-0.3885,,,
16.3,170.4000,-1.6577,8.0000,-0.0245,0.3992,-0.2906,,,
16.4,171.2000,-1.6604,8.0000,-0.0292,-0.6320,-0.1091,,,
16.5,172.0000,-1.6635,8.0000,-0.0337,-0.0302,0.6072,,,
16.6,172.8000,-1.6671,8.0000,-0.0380,-0.2041,-0.1553,,,
16.7,173.6000,-1.6711,8.0000,-0.0421,0.1380,0.0026,,,
16.8,174.4000,-1.6755,8.0000,-0.0461,0.2603,0.0348,,,
16.9,175.2000,-1.6803,8.0000,-0.0498,-0.0243,-0.2735,,,
17.0,176.0000,-1.6854,8.0000,-0.0533,0.4852,-0.1897,,,
17.1,176.8000,-1.6909,8.0000,-0.0565,0.1337,-0.0164,,,
17.2,177.6000,-1.6967,8.0000,-0.0594,0.4016,-0.1000,,,
17.3,178.4000,-1.7028,8.0000,-0.0621,-0.1730,-0.2025,,,
17.4,179.2000,-1.7091,8.0000,-0.0644,-0.0631,-0.2562,,,
17.5,180.0000,-1.7157,8.0000,-0.0664,0.2017,0.0839,,,
17.6,180.8000,-1.7224,8.0000,-0.0682,0.3374,-0.4574,,,
17.7,181.6000,-1.7293,8.0000,-0.0695,0.9217,-0.1172,,,
17.8,182.4000,-1.7363,8.0000,-0.0706,0.5230,-0.5139,,,
17.9,183.2000,-1.7434,8.0000,-0.0713,0.1550,0.0363,,,
18.0,184.0000,-1.7505,8.0000,-0.0716,-0.0191,-0.2031,,,
18.1,184.8000,-1.7577,8.0000,-0.0716,-0.2571,-0.0411,,,
18.2,185.6000,-1.7648,8.0000,-0.0713,-0.0860,0.1268,185.912,-1.990,8
18.3,186.4000,-1.7719,8.0000,-0.0706,-0.0645,0.6007,,,
18.4,187.2000,-1.7789,8.0000,-0.0695,0.2916,-0.2692,,,
18.5,188.0000,-1.7858,8.0000,-0.0682,-0.2656,0.1217,,,
18.6,188.8000,-1.7925,8.0000,-0.0664,0.2222,-0.0131,,,
18.7,189.6000,-1.7991,8.0000,-0.0644,0.4228,-0.0833,,,
18.8,190.4000,-1.8054,8.0000,-0.0621,0.2335,-0.0555,,,
18.9,191.2000,-1.8115,8.0000,-0.0594,0.4685,0.0625,,,
19.0,192.0000,-1.8173,8.0000,-0.0565,0.1319,-0.1331,,,
19.1,192.8000,-1.8228,8.0000,-0.0533,0.5394,0.8582,,,
19.2,193.6000,-1.8279,8.0000,-0.0498,0.2006,-0.0280,,,
19.3,194.4000,-1.8327,8.0000,-0.0461,-0.0973,0.0268,,,
19.4,195.2000,-1.8371,8.0000,-0.0421,-0.1838,0.2936,,,
19.5,196.0000,-1.8411,8.0000,-0.0380,-0.0311,0.5323,,,
19.6,196.8000,-1.8447,8.0000,-0.0337,-0.3711,0.5584,,,
19.7,197.6000,-1.8479,8.0000,-0.0292,0.1550,0.2081,,,
19.8,198.4000,-1.8505,8.0000,-0.0245,0.5320,0.5785,,,
19.9,199.2000,-1.8528,8.0000,-0.0198,0.2744,-0.5847,,,
20.0,200.0000,-1.8545,8.0000,-0.0149,0.9106,-0.2619,,,
20.1,200.8040,-1.8557,8.0800,-0.0100,0.9250,-0.3667,,,
20.2,201.6160,-1.8565,8.1600,-0.0050,1.0433,0.1762,,,
20.3,202.4360,-1.8567,8.2400,-0.0000,1.6258,0.1646,,,
20.4,203.2640,-1.8565,8.3200,0.0050,0.4151,0.1766,,,
20.5,204.1000,-1.8557,8.4000,0.0099,0.7212,0.0843,,,
20.6,204.9440,-1.8545,8.4800,0.0149,0.7199,0.0715,,,
20.7,205.7960,-1.8528,8.5600,0.0197,1.3151,-0.1963,,,
20.8,206.6560,-1.8506,8.6400,0.0245,1.4564,-0.2578,,,
20.9,207.5240,-1.8479,8.7200,0.0291,1.1381,-0.0588,,,
21.0,208.4000,-1.8448,8.8000,0.0336,0.6064,0.1275,,,
21.1,209.2840,-1.8412,8.8800,0.0379,0.8073,0.1343,,,
21.2,210.1760,-1.8372,8.9600,0.0421,1.0225,0.0713,210.482,-2.009,9
21.3,211.0760,-1.8328,9.0400,0.0460,0.0858,0.1614,,,
21.4,211.9840,-1.8280,9.1200,0.0497,0.4848,0.0062,,,
21.5,212.9000,-1.8228,9.2000,0.0532,1.5218,0.0410,,,
21.6,213.8240,-1.8174,9.2800,0.0564,1.1566,-0.0372,,,
21.7,214.7560,-1.8116,9.3600,0.0594,0.3777,0.0063,,,
21.8,215.6960,-1.8055,9.4400,0.0620,0.6891,0.1290,,,
21.9,216.6440,-1.7992,9.5200,0.0644,0.9293,0.2426,,,
22.0,217.6000,-1.7926,9.6000,0.0664,1.3193,0.4003,,,
22.1,218.5640,-1.7859,9.6800,0.0681,0.9458,-0.2325,,,
22.2,219.5360,-1.7790,9.7600,0.0695,1.0570,0.6793,,,
22.3,220.5160,-1.7720,9.8400,0.0705,0.4127,-0.2177,,,
22.4,221.5040,-1.7650,9.9200,0.0712,1.2602,-0.1335,,,
22.5,222.5000,-1.7578,10.0000,0.0716,0.8176,-0.1543,,,
22.6,223.5040,-1.7507,10.0800,0.0716,0.8080,0.4483,,,
22.7,224.5160,-1.7435,10.1600,0.0712,1.3044,0.1895,,,
22.8,225.5360,-1.7364,10.2400,0.0705,1.3988,-0.4388,,,
22.9,226.5640,-1.7294,10.3200,0.0695,0.7067,-0.0217,,,
23.0,227.6000,-1.7226,10.4000,0.0681,0.4034,-0.2813,,,
23.1,228.6440,-1.7158,10.4800,0.0664,1.3839,-0.1217,,,
23.2,229.6960,-1.7093,10.5600,0.0644,1.0356,0.2815,,,
23.3,230.7560,-1.7030,10.6400,0.0620,1.1315,0.2309,,,
23.4,231.8240,-1.6969,10.7200,0.0594,0.8285,0.2265,,,
23.5,232.9000,-1.6911,10.8000,0.0564,0.6334,0.1604,,,
23.6,233.9840,-1.6856,10.8800,0.0532,0.9925,-0.3833,,,
23.7,235.0760,-1.6805,10.9600,0.0497,1.0457,-0.0617,233.772,-1.286,10
23.8,236.1760,-1.6757,11.0400,0.0460,1.2030,-0.1144,,,
23.9,237.2840,-1.6713,11.1200,0.0421,0.7391,0.1566,,,
24.0,238.4000,-1.6673,11.2000,0.0379,0.1372,0.1363,,,
24.1,239.5200,-1.6637,11.2000,0.0336,-0.1609,0.3519,,,
24.2,240.6400,-1.6606,11.2000,0.0291,-0.3624,-0.0823,,,
24.3,241.7600,-1.6579,11.2000,0.0245,0.6330,0.1271,,,
24.4,242.8800,-1.6557,11.2000,0.0197,0.2489,-0.4922,,,
24.5,244.0000,-1.6540,11.2000,0.0149,0.3116,0.0676,,,
24.6,245.1200,-1.6527,11.2000,0.0099,0.0654,-0.0558,,,
24.7,246.2400,-1.6520,11.2000,0.0050,0.6442,-0.1869,,,
24.8,247.3600,-1.6517,11.2000,-0.0000,0.1959,0.1551,,,
24.9,248.4800,-1.6520,11.2000,-0.0050,0.2638,-0.4826,,,
25.0,249.6000,-1.6527,11.2000,-0.0100,0.4777,-0.1184,,,
25.1,250.7200,-1.6540,11.2000,-0.0149,0.2382,-0.0077,,,
25.2,251.8400,-1.6557,11.2000,-0.0198,-0.6803,-0.0970,,,
25.3,252.9600,-1.6579,11.2000,-0.0245,0.5199,-0.7113,,,
25.4,254.0800,-1.6606,11.2000,-0.0292,-0.0291,-0.0707,,,
25.5,255.2000,-1.6638,11.2000,-0.0337,-0.1870,-0.1764,,,
25.6,256.3200,-1.6673,11.2000,-0.0380,0.0949,-0.0442,,,
25.7,257.4400,-1.6713,11.2000,-0.0421,-0.0104,-0.5577,,,
25.8,258.5600,-1.6758,11.2000,-0.0461,0.4428,-0.0989,,,
25.9,259.6800,-1.6806,11.2000,-0.0498,-0.3466,-0.5546,,,
26.0,260.8000,-1.6857,11.2000,-0.0533,0.1974,0.2074,261.343,-1.487,11
26.1,261.9200,-1.6912,11.2000,-0.0565,-0.1279,0.4298,,,
26.2,263.0400,-1.6970,11.2000,-0.0594,0.6863,-0.3829,,,
26.3,264.1600,-1.7031,11.2000,-0.0621,-0.0274,0.1963,,,
26.4,265.2800,-1.7094,11.2000,-0.0644,-0.2340,0.1675,,,
26.5,266.4000,-1.7159,11.2000,-0.0664,-0.7016,0.0315,,,
26.6,267.5200,-1.7227,11.2000,-0.0682,0.1169,0.0128,,,
26.7,268.6400,-1.7295,11.2000,-0.0695,-0.4989,-0.0329,,,
26.8,269.7600,-1.7365,11.2000,-0.0706,0.3147,-0.5160,,,
26.9,270.8800,-1.7436,11.2000,-0.0713,0.2341,0.2463,,,
27.0,272.0000,-1.7508,11.2000,-0.0716,-0.2358,0.1040,,,
27.1,273.1200,-1.7579,11.2000,-0.0716,0.2991,0.1111,,,
27.2,274.2400,-1.7651,11.2000,-0.0713,-0.1118,-0.1168,,,
27.3,275.3600,-1.7722,11.2000,-0.0706,-0.2528,-0.1924,,,
27.4,276.4800,-1.7792,11.2000,-0.0695,0.9256,0.1361,,,
27.5,277.6000,-1.7861,11.2000,-0.0682,-0.0291,0.2988,,,
27.6,278.7200,-1.7928,11.2000,-0.0664,-0.5693,-0.1857,,,
27.7,279.8400,-1.7993,11.2000,-0.0644,-0.4828,-0.1339,,,
27.8,280.9600,-1.8057,11.2000,-0.0621,-0.4483,0.0734,,,
27.9,282.0800,-1.8117,11.2000,-0.0594,-0.0091,-0.1057,,,
28.0,283.2000,-1.8175,11.2000,-0.0565,0.2520,0.3583,,,
28.1,284.3200,-1.8230,11.2000,-0.0533,-0.0598,0.4362,,,
28.2,285.4389,-1.8282,11.1786,-0.0498,-0.0719,-0.4044,285.274,-1.793,12
28.3,286.5558,-1.8330,11.1580,-0.0461,-0.4337,-0.1957,,,
28.4,287.6706,-1.8374,11.1384,-0.0421,0.0777,-0.5019,,,
28.5,288.7835,-1.8414,11.1198,-0.0380,-0.0577,0.0524,,,
28.6,289.8946,-1.8450,11.1022,-0.0337,0.3725,0.0541,,,
28.7,291.0040,-1.8481,11.0856,-0.0292,0.0782,-0.3149,,,
28.8,292.1118,-1.8508,11.0700,-0.0245,-0.0762,-0.0494,,,
28.9,293.2180,-1.8530,11.0556,-0.0198,0.1005,0.1575,,,
29.0,294.3229,-1.8547,11.0422,-0.0149,0.0626,-0.0093,,,
29.1,295.4265,-1.8560,11.0300,-0.0100,-0.2334,-0.1948,,,
29.2,296.5290,-1.8567,11.0190,-0.0050,0.2876,-0.2925,,,
29.3,297.6304,-1.8570,11.0091,-0.0000,-0.1705,-0.3447,,,
29.4,298.7309,-1.8568,11.0004,0.0050,-0.4784,0.3659,,,
29.5,299.8305,-1.8560,10.9930,0.0099,-0.2713,0.5378,,,
29.6,300.9295,-1.8548,10.9867,0.0149,0.2769,0.1179,,,
29.7,302.0279,-1.8530,10.9817,0.0197,0.0543,-0.4595,,,
29.8,303.1259,-1.8508,10.9780,0.0245,-0.1933,-0.0357,,,
29.9,304.2236,-1.8481,10.9755,0.0291,-0.2024,-0.3879,,,
30.0,305.3211,-1.8450,10.9742,0.0336,-0.1569,0.7516,,,
30.1,306.4185,-1.8414,10.9742,0.0379,-0.0672,0.2967,,,
30.2,307.5160,-1.8374,10.9755,0.0421,0.1871,-0.1636,,,
30.3,308.6137,-1.8330,10.9780,0.0460,0.0779,-0.2494,,,
30.4,309.7117,-1.8282,10.9817,0.0497,0.5963,-0.1590,,,
30.5,310.8101,-1.8231,10.9867,0.0532,-0.0577,-0.1664,310.541,-1.613,13
30.6,311.9091,-1.8176,10.9930,0.0564,0.0005,0.0926,,,
30.7,313.0087,-1.8118,11.0004,0.0594,0.0695,0.0760,,,
30.8,314.1092,-1.8058,11.0091,0.0620,0.0062,0.0282,,,
30.9,315.2106,-1.7994,11.0190,0.0644,0.1341,0.6464,,,
31.0,316.3131,-1.7929,11.0300,0.0664,-0.1616,0.1323,,,
31.1,317.4167,-1.7862,11.0422,0.0681,0.5869,-0.4946,,,
31.2,318.5216,-1.7793,11.0556,0.0695,0.3705,-0.2716,,,
31.3,319.6279,-1.7723,11.0700,0.0705,0.5036,0.3908,,,
31.4,320.7356,-1.7652,11.0856,0.0712,-0.4828,-0.1040,,,
31.5,321.8450,-1.7581,11.1022,0.0716,0.4960,0.2050,,,
31.6,322.9561,-1.7509,11.1198,0.0716,-0.2498,-0.1636,,,
31.7,324.0690,-1.7438,11.1384,0.0712,0.1648,0.2921,,,
31.8,325.1838,-1.7367,11.1580,0.0705,0.3511,-0.2699,,,
31.9,326.3007,-1.7297,11.1786,0.0695,-0.3169,0.2317,,,
32.0,327.4196,-1.7228,11.2000,0.0681,0.2409,0.4973,,,
32.1,328.5407,-1.7161,11.2223,0.0664,0.5967,-0.5346,,,
32.2,329.6641,-1.7096,11.2454,0.0644,0.7152,0.1893,,,
32.3,330.7898,-1.7032,11.2693,0.0620,0.4958,0.0923,,,
32.4,331.9180,-1.6972,11.2939,0.0594,-0.0131,-0.1867,,,
32.5,333.0487,-1.6914,11.3193,0.0564,0.2277,-0.3165,,,
32.6,334.1819,-1.6859,11.3453,0.0532,0.3099,-0.5182,,,
32.7,335.3177,-1.6808,11.3718,0.0497,0.2016,-0.1124,335.902,-1.527,14
32.8,336.4563,-1.6760,11.3990,0.0460,0.2344,0.3239,,,
32.9,337.5976,-1.6716,11.4266,0.0421,0.5841,-0.1489,,,
33.0,338.7416,-1.6676,11.4548,0.0379,-0.0645,-0.3129,,,
33.1,339.8885,-1.6640,11.4833,0.0336,0.4329,0.0377,,,
33.2,341.0383,-1.6608,11.5122,0.0291,0.4255,-0.1436,,,
33.3,342.1910,-1.6582,11.5414,0.0245,0.4543,-0.0158,,,
33.4,343.3466,-1.6560,11.5709,0.0197,0.2308,0.6133,,,
33.5,344.5052,-1.6542,11.6005,0.0149,0.5533,0.2060,,,
33.6,345.6667,-1.6530,11.6304,0.0099,-0.3375,-0.4449,,,
33.7,346.8313,-1.6522,11.6603,0.0050,0.5086,-0.1696,,,
33.8,347.9988,-1.6520,11.6903,-0.0000,0.2822,-0.2028,,,
33.9,349.1693,-1.6522,11.7203,-0.0050,0.2858,0.1783,,,
34.0,350.3428,-1.6530,11.7502,-0.0100,-0.0299,0.1489,,,
34.1,351.5194,-1.6542,11.7801,-0.0149,0.6424,0.2374,,,
34.2,352.6988,-1.6560,11.8098,-0.0198,-0.4697,0.5149,,,
34.3,353.8813,-1.6582,11.8392,-0.0245,0.6964,0.2362,,,
34.4,355.0667,-1.6609,11.8684,-0.0292,0.7754,0.0518,,,
34.5,356.2550,-1.6640,11.8973,-0.0337,1.4010,-0.0703,,,
34.6,357.4461,-1.6676,11.9259,-0.0380,-0.0372,-0.3674,,,
34.7,358.6401,-1.6716,11.9540,-0.0421,0.3018,-0.3990,,,
34.8,359.8369,-1.6760,11.9816,-0.0461,0.6476,0.0314,,,
