t,true_s,wheel_v,match,match_dist
24.7,340.650,13.6306,,
24.8,342.000,13.5802,,
24.9,343.349,13.1415,,
25.0,344.699,13.9383,,
25.1,346.049,13.3742,light,28.707
25.2,347.399,13.6624,,
25.3,348.749,13.7886,,
25.4,350.098,13.6949,,
25.5,351.447,13.3765,,
25.6,352.795,13.9997,,
25.7,354.143,13.4707,,
25.8,355.489,13.4901,,
25.9,356.834,13.4443,,
26.0,358.178,13.2076,,
26.1,359.521,13.4575,,
26.2,360.862,13.2428,,
26.3,362.202,13.9244,,
26.4,363.539,13.2377,,
26.5,364.875,13.5688,,
26.6,366.209,12.8420,,
26.7,367.540,12.9421,,
26.8,368.869,13.2832,,
26.9,370.196,13.1423,light,30.294
27.0,371.520,12.7855,,
27.1,372.841,13.3683,,
27.2,374.160,12.9833,,
27.3,375.475,13.1799,,
27.4,376.788,13.1107,,
27.5,378.097,13.0125,,
27.6,379.403,13.3961,,
27.7,380.706,13.2744,,
27.8,382.005,13.1595,,
27.9,383.301,12.7626,,
28.0,384.593,13.1671,,
28.1,385.881,12.8635,,
28.2,387.165,12.6669,,
28.3,388.445,12.5384,,
28.4,389.722,12.9049,,
28.5,390.994,12.8929,,
28.6,392.262,12.9700,,
28.7,393.526,12.6612,,
28.8,394.786,12.1502,,
28.9,396.041,12.9448,light,28.575
29.0,397.292,12.7314,,
29.1,398.538,12.2849,,
29.2,399.780,12.5206,,
29.3,401.017,12.2428,,
29.4,402.250,12.2363,,
29.5,403.478,12.0441,,
29.6,404.701,12.6036,,
29.7,405.920,11.7691,,
29.8,407.134,12.2002,,
29.9,408.344,12.2469,,
30.0,409.549,12.3662,,
30.1,410.749,12.3162,,
30.2,411.944,12.2106,,
30.3,413.134,12.2758,,
30.4,414.320,11.7953,,
30.5,415.501,11.7705,,
30.6,416.678,11.6558,,
30.7,417.850,11.7621,,
30.8,419.017,11.5353,,
30.9,420.180,11.5602,light,27.331
31.0,421.338,11.6400,,
31.1,422.492,11.3073,,
31.2,423.641,11.5285,,
31.3,424.786,11.0738,,
31.4,425.926,11.6948,,
31.5,427.062,11.2934,,
31.6,428.194,11.2290,,
31.7,429.322,11.1266,,
31.8,430.445,10.9223,,
31.9,431.565,11.1148,,
32.0,432.681,11.4289,,
32.1,433.793,11.2876,,
32.2,434.901,11.0407,,
32.3,436.005,10.8429,,
32.4,437.106,10.9962,,
32.5,438.203,11.3670,,
32.6,439.297,11.0208,,
32.7,440.388,10.7954,niche,30.588
32.8,441.475,10.2200,,
32.9,442.560,11.1301,,
33.0,443.641,11.6059,,
33.1,444.720,10.4742,,
33.2,445.796,10.6035,,
33.3,446.869,10.7130,,
33.4,447.940,10.9683,,
33.5,449.009,11.0110,,
33.6,450.075,11.3416,,
33.7,451.139,10.3128,,
33.8,452.202,10.5131,,
33.9,453.262,10.4259,,
34.0,454.321,10.6592,,
34.1,455.378,10.4860,,
34.2,456.434,10.7991,,
34.3,457.489,11.1244,,
34.4,458.543,10.8122,,
34.5,459.595,10.7946,,
34.6,460.647,10.7091,,
34.7,461.698,10.7434,,
34.8,462.749,10.7572,,
34.9,463.799,11.0836,,
35.0,464.849,10.3694,,
35.1,465.899,10.3222,,
35.2,466.949,10.9266,,
35.3,468.000,10.3597,,
35.4,469.050,11.0427,,
35.5,470.101,10.1102,light,31.326
35.6,471.153,10.7149,,
35.7,472.206,9.9879,,
35.8,473.260,10.5879,,
35.9,474.314,10.6646,,
36.0,475.370,10.7967,,
36.1,476.428,10.7713,,
36.2,477.486,10.2000,,
36.3,478.547,10.4074,,
36.4,479.609,10.6300,,
36.5,480.674,10.4755,,
36.6,481.740,10.7455,,
36.7,482.809,10.8770,,
36.8,483.879,10.7811,,
36.9,484.953,10.7235,,
37.0,486.029,10.3580,,
37.1,487.107,10.4228,,
37.2,488.189,10.7660,,
37.3,489.273,10.7777,,
37.4,490.361,11.3612,,
37.5,491.451,10.9777,,
37.6,492.545,10.8228,,
37.7,493.643,10.7123,,
37.8,494.743,11.3253,,
37.9,495.848,10.9936,light,29.530
38.0,496.956,11.3807,,
38.1,498.068,11.6233,,
38.2,499.183,11.4846,,
38.3,500.303,11.2024,,
38.4,501.427,11.1959,,
38.5,502.554,10.8504,,
38.6,503.686,11.6999,,
38.7,504.822,12.1599,,
38.8,505.963,11.5076,,
38.9,507.108,11.4154,,
39.0,508.257,11.3071,,
39.1,509.410,11.3701,,
39.2,510.569,12.3425,,
39.3,511.731,11.3449,,
39.4,512.899,11.9911,,
39.5,514.071,12.0335,,
39.6,515.247,11.1912,,
39.7,516.428,11.6562,,
39.8,517.614,11.9650,,
39.9,518.805,12.1186,,
40.0,520.000,12.1147,,
40.1,521.200,11.8350,light,28.889
40.2,522.405,12.4843,,
40.3,523.614,12.5171,,
40.4,524.828,11.9447,,
40.5,526.047,11.6702,,
40.6,527.271,12.2246,,
40.7,528.499,12.1601,,
40.8,529.731,12.1392,,
40.9,530.969,12.2850,,
41.0,532.210,12.6918,,
41.1,533.457,12.6208,,
41.2,534.708,12.7674,,
41.3,535.963,12.5151,,
41.4,537.222,11.7927,,
41.5,538.486,12.6226,,
41.6,539.754,13.0995,,
41.7,541.027,12.3265,,
41.8,542.303,13.3390,,
41.9,543.583,12.7940,,
42.0,544.868,13.1635,,
42.1,546.156,12.8609,light,28.648
42.2,547.448,12.7278,,
42.3,548.743,13.0300,,
42.4,550.043,13.4045,,
42.5,551.345,12.9026,,
42.6,552.651,13.4113,,
42.7,553.961,12.7945,,
42.8,555.273,13.4769,,
42.9,556.589,13.8347,,
43.0,557.907,13.1248,,
43.1,559.229,13.1249,,
43.2,560.553,12.9644,,
43.3,561.879,13.4643,,
43.4,563.209,13.3339,,
43.5,564.540,13.6963,,
43.6,565.874,13.3796,,
43.7,567.209,13.4362,,
43.8,568.547,13.4101,,
43.9,569.886,12.9304,,
44.0,571.228,13.2660,light,28.557
44.1,572.570,13.2486,,
44.2,573.914,13.1598,,
44.3,575.260,13.3684,,
44.4,576.606,13.7922,,
44.5,577.953,13.4399,,
44.6,579.301,13.3648,,
44.7,580.650,13.8124,niche,27.844
44.8,582.000,14.0809,,
44.9,583.349,12.8640,,
45.0,584.699,13.1495,,
