t,true_x,true_y,true_theta,wheel_v,gyro_w,sign_id,sign_range,sign_bearing
3.1,30.9466,0.9143,0.18333,9.6703,0.17911,,,
3.2,31.9299,1.0966,0.20000,10.1748,0.17425,,,
3.3,32.9099,1.2953,0.21667,9.8441,0.13216,,,
3.4,33.8865,1.5103,0.23333,9.7481,0.16571,,,
3.5,34.8594,1.7415,0.25000,10.0186,0.17882,,,
3.6,35.8284,1.9889,0.26667,9.7628,0.17521,,,
3.7,36.7930,2.2524,0.28333,10.3449,0.14581,,,
3.8,37.7531,2.5320,0.30000,9.7768,0.19889,,,
3.9,38.7085,2.8275,0.31667,10.1131,0.16133,,,
4.0,39.6587,3.1389,0.33333,10.0232,0.18069,,,
4.1,40.6037,3.4661,0.35000,10.2086,0.18935,,,
4.2,41.5431,3.8090,0.36667,9.9783,0.18345,,,
4.3,42.4766,4.1675,0.38333,9.7966,0.16267,,,
4.4,43.4040,4.5415,0.40000,10.0507,0.20475,2,30.923,0.45519
4.5,44.3251,4.9309,0.41667,10.4283,0.17012,,,
4.6,45.2395,5.3357,0.43333,9.7785,0.17215,,,
4.7,46.1471,5.7556,0.45000,9.8953,0.16992,,,
4.8,47.0476,6.1905,0.46667,9.5026,0.15507,,,
4.9,47.9406,6.6404,0.48333,9.9615,0.17274,,,
5.0,48.8261,7.1052,0.50000,10.2081,0.15954,,,
5.1,49.7037,7.5846,0.51667,9.9453,0.20619,,,
5.2,50.5731,8.0786,0.53333,10.2659,0.16170,,,
5.3,51.4342,8.5870,0.55000,9.9240,0.18515,,,
5.4,52.2868,9.1097,0.56667,9.8632,0.13817,,,
5.5,53.1305,9.6465,0.58333,9.7015,0.14640,,,
5.6,53.9651,10.1973,0.60000,9.7624,0.17078,,,
5.7,54.7904,10.7619,0.61667,9.9727,0.16311,,,
5.8,55.6062,11.3403,0.63333,10.1780,0.14113,,,
5.9,56.4123,11.9321,0.65000,9.8350,0.18187,,,
6.0,57.2084,12.5373,0.66667,10.1074,0.15817,,,
6.1,57.9943,13.1557,0.68333,10.3366,0.17331,,,
6.2,58.7697,13.7870,0.70000,9.5091,0.17082,,,
6.3,59.5346,14.4313,0.71667,10.0896,0.16645,,,
6.4,60.2886,15.0881,0.73333,10.2118,0.19429,,,
6.5,61.0315,15.7575,0.75000,10.2362,0.18850,,,
6.6,61.7632,16.4391,0.76667,9.9747,0.18323,,,
6.7,62.4835,17.1329,0.78333,9.6736,0.15922,,,
6.8,63.1920,17.8385,0.80000,9.6740,0.18870,,,
6.9,63.8887,18.5559,0.81667,10.1853,0.17102,3,29.557,0.36616
7.0,64.5734,19.2847,0.83333,10.3054,0.16055,,,
7.1,65.2458,20.0249,0.85000,10.1190,0.15465,,,
7.2,65.9058,20.7762,0.86667,10.0920,0.18182,,,
7.3,66.5531,21.5384,0.88333,10.0501,0.18379,,,
7.4,67.1877,22.3112,0.90000,10.1546,0.19175,,,
7.5,67.8093,23.0945,0.91667,9.5668,0.17403,,,
7.6,68.4178,23.8881,0.93333,9.8645,0.14287,,,
7.7,69.0130,24.6917,0.95000,10.0925,0.19878,,,
7.8,69.5946,25.5051,0.96667,9.8251,0.18752,,,
7.9,70.1627,26.3281,0.98333,10.2111,0.16076,,,
8.0,70.7169,27.1605,1.00000,9.9241,0.17950,,,
8.1,71.2572,28.0020,1.01667,9.6504,0.16404,,,
8.2,71.7834,28.8523,1.03333,10.2988,0.16668,,,
8.3,72.2954,29.7113,1.05000,10.0209,0.15696,,,
8.4,72.7930,30.5788,1.06667,9.9014,0.19737,,,
8.5,73.2760,31.4543,1.08333,9.9434,0.14486,,,
8.6,73.7444,32.3379,1.10000,10.1974,0.17674,,,
8.7,74.1980,33.2291,1.11667,9.7502,0.18299,,,
8.8,74.6367,34.1277,1.13333,9.7255,0.19408,,,
8.9,75.0603,35.0336,1.15000,10.1272,0.19389,,,
9.0,75.4688,35.9463,1.16667,9.7893,0.18998,,,
9.1,75.8620,36.8658,1.18333,9.6778,0.19747,,,
9.2,76.2399,37.7916,1.20000,9.9745,0.16855,,,
9.3,76.6022,38.7237,1.21667,9.7043,0.17001,,,
9.4,76.9490,39.6616,1.23333,9.7843,0.16546,4,28.846,0.39977
9.5,77.2801,40.6052,1.25000,9.8654,0.17562,,,
9.6,77.5954,41.5542,1.26667,9.9477,0.16356,,,
9.7,77.8949,42.5083,1.28333,10.0227,0.16825,,,
9.8,78.1784,43.4673,1.30000,10.0296,0.17657,,,
9.9,78.4459,44.4308,1.31667,9.9583,0.15736,,,
10.0,78.6973,45.3987,1.33333,10.0934,0.17505,,,
10.1,78.9325,46.3707,1.35000,10.0523,0.14764,,,
10.2,79.1515,47.3464,1.36667,9.9399,0.19190,,,
10.3,79.3543,48.3256,1.38333,10.1114,0.16796,,,
10.4,79.5406,49.3081,1.40000,9.8575,0.16644,,,
10.5,79.7106,50.2935,1.41667,10.1661,0.16234,,,
10.6,79.8641,51.2817,1.43333,10.0578,0.15140,,,
10.7,80.0011,52.2723,1.45000,10.2236,0.16686,,,
10.8,80.1217,53.2650,1.46667,9.7041,0.19037,,,
10.9,80.2256,54.2596,1.48333,9.6212,0.18346,,,
11.0,80.3129,55.2557,1.50000,10.3211,0.16946,,,
11.1,80.3837,56.2532,1.51667,9.7330,0.15866,,,
11.2,80.4378,57.2518,1.53333,10.1358,0.17120,,,
11.3,80.4752,58.2511,1.55000,9.7967,0.19817,,,
11.4,80.4960,59.2508,1.56667,10.0267,0.17728,,,
11.5,80.5002,60.2508,1.58333,9.9326,0.16437,,,
11.6,80.4876,61.2508,1.60000,9.9731,0.12805,,,
11.7,80.4584,62.2503,1.61667,10.2998,0.19069,,,
11.8,80.4126,63.2493,1.63333,10.5178,0.22429,,,
11.9,80.3501,64.2473,1.65000,9.6932,0.15066,,,
12.0,80.2710,65.2442,1.66667,9.8638,0.16100,5,29.265,0.41504
12.1,80.1752,66.2396,1.68333,9.7207,0.16994,,,
12.2,80.0629,67.2333,1.70000,10.0645,0.18851,,,
12.3,79.9341,68.2249,1.71667,9.6657,0.19283,,,
12.4,79.7887,69.2143,1.73333,10.2046,0.21626,,,
12.5,79.6269,70.2011,1.75000,10.2340,0.14896,,,
12.6,79.4487,71.1851,1.76667,10.0864,0.16352,,,
12.7,79.2540,72.1660,1.78333,10.1350,0.15882,,,
12.8,79.0431,73.1435,1.80000,9.9823,0.17538,,,
12.9,78.8159,74.1173,1.81667,10.0765,0.16476,,,
13.0,78.5725,75.0873,1.83333,9.9894,0.18646,,,
13.1,78.3130,76.0530,1.85000,9.7701,0.20888,,,
13.2,78.0374,77.0143,1.86667,10.3157,0.18871,,,
13.3,77.7458,77.9708,1.88333,9.7986,0.18808,,,
13.4,77.4383,78.9224,1.90000,9.7322,0.18282,,,
13.5,77.1150,79.8687,1.91667,9.8855,0.18545,,,
13.6,76.7760,80.8095,1.93333,9.9274,0.18661,,,
13.7,76.4214,81.7445,1.95000,10.1324,0.20852,,,
13.8,76.0512,82.6734,1.96667,9.8826,0.16096,,,
13.9,75.6656,83.5961,1.98333,9.7615,0.15776,,,
14.0,75.2647,84.5122,2.00000,10.3042,0.19791,,,
14.1,74.8485,85.4215,2.01667,10.2819,0.15987,,,
14.2,74.4173,86.3237,2.03333,10.0943,0.20506,,,
14.3,73.9710,87.2187,2.05000,10.1843,0.14245,,,
14.4,73.5100,88.1060,2.06667,10.0939,0.18222,,,
14.5,73.0342,88.9856,2.08333,10.0309,0.13312,,,
14.6,72.5438,89.8571,2.10000,10.2058,0.00572,6,29.349,0.14400
14.7,72.0389,90.7203,2.10000,10.4107,0.01001,,,
14.8,71.5341,91.5835,2.10000,9.9579,0.01789,,,
14.9,71.0292,92.4467,2.10000,9.6345,0.01517,,,
15.0,70.5244,93.3099,2.10000,9.9996,-0.02402,,,
15.1,70.0196,94.1731,2.10000,10.2158,-0.01140,,,
15.2,69.5147,95.0363,2.10000,9.7649,0.00215,,,
15.3,69.0099,95.8995,2.10000,10.3319,-0.00954,,,
15.4,68.5050,96.7627,2.10000,9.8799,0.00700,,,
15.5,68.0002,97.6260,2.10000,9.8618,0.01420,,,
15.6,67.4953,98.4892,2.10000,9.8570,0.00617,,,
15.7,66.9905,99.3524,2.10000,9.7820,0.00061,,,
15.8,66.4856,100.2156,2.10000,9.8087,-0.02556,,,
15.9,65.9808,101.0788,2.10000,9.9880,-0.02313,,,
16.0,65.4759,101.9420,2.10000,9.9036,-0.00222,,,
16.1,64.9711,102.8052,2.10000,10.2716,-0.00347,,,
16.2,64.4662,103.6684,2.10000,9.8388,0.03331,,,
16.3,63.9614,104.5316,2.10000,10.0626,0.00556,,,
16.4,63.4566,105.3948,2.10000,9.8398,-0.00703,,,
16.5,62.9517,106.2580,2.10000,10.0828,-0.01672,,,
16.6,62.4469,107.1213,2.10000,10.0418,0.02177,,,
16.7,61.9420,107.9845,2.10000,10.0357,-0.00280,,,
16.8,61.4372,108.8477,2.10000,9.8393,0.02049,,,
16.9,60.9323,109.7109,2.10000,10.1965,0.03410,,,
17.0,60.4275,110.5741,2.10000,10.0132,0.02222,,,
17.1,59.9226,111.4373,2.10000,10.1376,0.00073,7,29.326,0.08111
17.2,59.4178,112.3005,2.10000,10.2289,-0.00243,,,
17.3,58.9129,113.1637,2.10000,10.2102,-0.02824,,,
17.4,58.4081,114.0269,2.10000,9.9664,0.02557,,,
17.5,57.9032,114.8901,2.10000,10.2487,0.05337,,,
17.6,57.3984,115.7534,2.10000,9.4908,0.00699,,,
17.7,56.8936,116.6166,2.10000,9.8183,-0.00210,,,
17.8,56.3887,117.4798,2.10000,10.1094,-0.01229,,,
17.9,55.8839,118.3430,2.10000,10.1127,-0.01109,,,
18.0,55.3790,119.2062,2.10000,10.1662,0.05070,,,
18.1,54.8742,120.0694,2.10000,10.0722,-0.01886,,,
18.2,54.3693,120.9326,2.10000,9.7818,0.02114,,,
18.3,53.8645,121.7958,2.10000,10.0377,0.02087,,,
18.4,53.3596,122.6590,2.10000,10.1005,-0.03839,,,
18.5,52.8548,123.5222,2.10000,10.0167,-0.01051,,,
18.6,52.3499,124.3854,2.10000,9.6595,0.00695,,,
18.7,51.8451,125.2487,2.10000,10.6524,0.01405,,,
18.8,51.3402,126.1119,2.10000,9.9102,0.01065,,,
18.9,50.8354,126.9751,2.10000,10.1261,-0.01114,,,
19.0,50.3306,127.8383,2.10000,10.2521,0.02901,,,
19.1,49.8257,128.7015,2.10000,10.3363,0.02806,,,
19.2,49.3209,129.5647,2.10000,10.2438,-0.01322,,,
19.3,48.8160,130.4279,2.10000,9.9324,-0.03463,,,
19.4,48.3112,131.2911,2.10000,10.2041,-0.00076,,,
19.5,47.8063,132.1543,2.10000,10.1190,-0.00814,,,
19.6,47.3015,133.0175,2.10000,9.8609,-0.01259,8,28.739,0.11474
19.7,46.7966,133.8807,2.10000,10.1688,-0.00590,,,
19.8,46.2918,134.7440,2.10000,9.9400,0.01822,,,
19.9,45.7869,135.6072,2.10000,10.0643,0.01051,,,
20.0,45.2821,136.4704,2.10000,10.2023,0.01735,,,
20.1,44.7773,137.3336,2.10000,10.2135,-0.00238,,,
20.2,44.2724,138.1968,2.10000,9.9209,-0.05340,,,
20.3,43.7676,139.0600,2.10000,10.0698,-0.00089,,,
20.4,43.2627,139.9232,2.10000,10.0576,0.02813,,,
20.5,42.7579,140.7864,2.10000,9.9573,-0.02613,,,
20.6,42.2530,141.6496,2.10000,9.7152,0.03868,,,
20.7,41.7482,142.5128,2.10000,9.6914,-0.00028,,,
20.8,41.2433,143.3761,2.10000,9.8631,0.02179,,,
20.9,40.7385,144.2393,2.10000,10.0135,-0.00090,,,
21.0,40.2336,145.1025,2.10000,10.2080,-0.01222,,,
21.1,39.7288,145.9657,2.10000,10.1277,0.00554,,,
