t,x,y,theta,v,omega,v_meas,omega_meas,gnss_x,gnss_y
4.9,51.306,0.000,0.00000,10.941,0.00000,10.884,-0.00934,,
5.0,52.400,0.000,0.00000,10.959,0.00000,11.271,-0.00818,53.176,-0.768
5.1,53.496,0.000,0.00000,10.976,0.00000,10.894,0.02652,,
5.2,54.594,0.000,0.00000,10.994,0.00000,11.393,-0.00975,,
5.3,55.693,0.000,0.00000,11.011,0.00000,10.897,-0.00255,,
5.4,56.794,0.000,0.00000,11.028,0.00000,10.823,-0.00292,,
5.5,57.897,0.000,0.00000,11.045,0.00000,10.598,-0.01188,,
5.6,59.002,0.000,0.00000,11.062,0.00000,10.706,-0.00318,,
5.7,60.108,0.000,0.00000,11.079,0.00000,11.038,-0.00207,,
5.8,61.216,0.000,0.00000,11.096,0.00000,11.363,0.00627,,
5.9,62.326,0.000,0.00000,11.113,0.00000,10.865,0.00167,,
6.0,63.437,0.000,0.00000,11.129,0.00000,11.290,0.02239,62.813,1.925
6.1,64.550,0.000,0.00000,11.146,0.00000,11.651,-0.00799,,
6.2,65.664,0.000,0.00000,11.162,0.00000,10.426,0.03531,,
6.3,66.781,0.000,0.00000,11.178,0.00000,11.313,0.01374,,
6.4,67.898,0.000,0.00000,11.194,0.00000,11.512,-0.01489,,
6.5,69.018,0.000,0.00000,11.210,0.00000,11.565,0.00131,,
6.6,70.139,0.000,0.00000,11.226,0.00000,11.188,0.02109,,
6.7,71.261,0.000,0.00000,11.242,0.00000,10.752,0.04078,,
6.8,72.386,0.000,0.00000,11.258,0.00000,10.769,-0.00251,,
6.9,73.511,0.000,0.00000,11.273,0.00000,11.551,-0.05273,,
7.0,74.639,0.000,0.00000,11.288,0.00000,11.747,0.02781,74.045,-1.592
7.1,75.768,0.000,0.00000,11.304,0.00000,11.482,-0.00111,,
7.2,76.898,0.000,0.00000,11.319,0.00000,11.457,-0.03307,,
7.3,78.030,0.000,0.00000,11.334,0.00000,11.409,-0.02980,,
7.4,79.163,0.000,0.00000,11.349,0.00000,11.581,-0.01615,,
7.5,80.298,0.000,0.00000,11.363,0.00000,10.713,0.00664,,
7.6,81.434,0.000,0.00000,11.378,0.00000,11.175,-0.02478,,
7.7,82.572,0.000,0.00000,11.392,0.00000,11.531,-0.03416,,
7.8,83.711,0.000,0.00000,11.407,0.00000,11.144,0.01189,,
7.9,84.852,0.000,0.00000,11.421,0.00000,11.737,-0.02603,,
8.0,85.994,0.000,0.00000,11.435,0.00000,11.321,-0.01878,85.876,2.213
8.1,87.138,0.000,0.00000,11.449,0.00000,10.924,-0.01620,,
8.2,88.282,0.000,0.00000,11.462,0.00000,11.910,0.01507,,
8.3,89.429,0.000,0.00000,11.476,0.00000,11.507,-0.02003,,
8.4,90.576,0.000,0.00000,11.489,0.00000,11.341,-0.00234,,
8.5,91.725,0.000,0.00000,11.503,0.00000,11.418,-0.00303,,
8.6,92.875,0.000,0.00000,11.516,0.00000,11.812,-0.00133,,
8.7,94.027,0.000,0.00000,11.529,0.00000,11.154,-0.00595,,
8.8,95.180,0.000,0.00000,11.541,0.00000,11.130,0.00949,,
8.9,96.334,0.000,0.00000,11.554,0.00000,11.745,-0.01484,,
9.0,97.489,0.000,0.00000,11.567,0.00000,11.251,0.00559,95.714,2.025
9.1,98.646,0.000,0.00000,11.579,0.00000,11.096,-0.02648,,
9.2,99.804,0.000,0.00000,11.591,0.00000,11.553,-0.00776,,
9.3,100.963,0.000,0.00000,11.603,0.00000,11.160,-0.02562,,
9.4,102.123,0.000,0.00000,11.615,0.00000,11.292,-0.00220,,
9.5,103.285,0.000,0.00000,11.627,0.00000,11.425,0.01704,,
9.6,104.448,0.000,0.00000,11.638,0.00000,11.560,0.02780,,
9.7,105.611,0.000,0.00000,11.650,0.00000,11.684,-0.02312,,
9.8,106.776,0.000,0.00000,11.661,0.00000,11.705,-0.00038,,
9.9,107.943,0.000,0.00000,11.672,0.00000,11.610,-0.03839,,
10.0,109.110,0.000,0.00000,11.683,0.20000,11.823,0.19951,110.843,-2.386
10.1,110.278,0.000,0.02000,11.694,0.20000,11.772,0.22245,,
10.2,111.447,0.023,0.04000,11.704,0.20000,11.614,0.18002,,
10.3,112.617,0.070,0.06000,11.715,0.20000,11.882,0.20318,,
10.4,113.786,0.140,0.08000,11.725,0.20000,11.511,0.19280,,
10.5,114.955,0.234,0.10000,11.735,0.20000,11.984,0.20339,,
10.6,116.122,0.351,0.12000,11.745,0.20000,11.831,0.17363,,
10.7,117.288,0.492,0.14000,11.754,0.20000,12.090,0.20581,,
10.8,118.452,0.656,0.16000,11.764,0.20000,11.320,0.21739,,
10.9,119.614,0.843,0.18000,11.773,0.20000,11.205,0.16094,,
11.0,120.772,1.054,0.20000,11.782,0.20000,12.264,0.19380,119.357,3.336
11.1,121.927,1.288,0.22000,11.791,0.20000,11.391,0.24184,,
11.2,123.077,1.546,0.24000,11.800,0.20000,12.004,0.18188,,
11.3,124.224,1.826,0.26000,11.809,0.20000,11.504,0.16208,,
11.4,125.365,2.130,0.28000,11.817,0.20000,11.857,0.20342,,
11.5,126.501,2.456,0.30000,11.826,0.20000,11.725,0.19396,,
11.6,127.630,2.806,0.32000,11.834,0.20000,11.793,0.19862,,
11.7,128.754,3.178,0.34000,11.842,0.20000,12.291,0.21881,,
11.8,129.870,3.573,0.36000,11.849,0.20000,12.626,0.18972,,
11.9,130.979,3.990,0.38000,11.857,0.20000,11.397,0.22345,,
12.0,132.080,4.430,0.40000,11.864,0.20000,11.660,0.18407,132.722,1.654
12.1,133.173,4.892,0.42000,11.871,0.20000,11.452,0.19204,,
12.2,134.257,5.376,0.44000,11.878,0.20000,11.975,0.23585,,
12.3,135.331,5.882,0.46000,11.885,0.20000,11.384,0.19526,,
12.4,136.396,6.410,0.48000,11.892,0.20000,12.198,0.22667,,
12.5,137.451,6.959,0.50000,11.898,0.20000,12.249,0.23393,,
12.6,138.495,7.529,0.52000,11.904,0.20000,12.034,0.18951,,
12.7,139.528,8.121,0.54000,11.910,0.20000,12.113,0.19635,,
12.8,140.550,8.733,0.56000,11.916,0.20000,11.889,0.17640,,
12.9,141.559,9.366,0.58000,11.922,0.20000,12.036,0.23156,,
13.0,142.557,10.019,0.60000,11.927,0.20000,11.911,0.22580,142.348,10.385
13.1,143.541,10.693,0.62000,11.932,0.20000,11.587,0.19466,,
13.2,144.512,11.386,0.64000,11.937,0.20000,12.411,0.19757,,
13.3,145.470,12.099,0.66000,11.942,0.20000,11.640,0.21252,,
13.4,146.413,12.831,0.68000,11.947,0.20000,11.545,0.19238,,
13.5,147.342,13.582,0.70000,11.951,0.20000,11.780,0.23142,,
13.6,148.256,14.352,0.72000,11.956,0.20000,11.847,0.22968,,
13.7,149.155,15.141,0.74000,11.960,0.20000,12.158,0.20831,,
13.8,150.038,15.947,0.76000,11.964,0.20000,11.788,0.22573,,
13.9,150.905,16.771,0.78000,11.967,0.20000,11.610,0.22865,,
14.0,151.756,17.613,0.80000,11.971,0.20000,12.427,0.22732,150.001,19.315
14.1,152.590,18.472,0.82000,11.974,0.20000,12.397,0.19042,,
14.2,153.407,19.347,0.84000,11.977,0.20000,12.119,0.20188,,
14.3,154.207,20.239,0.86000,11.980,0.20000,12.257,0.19147,,
14.4,154.988,21.147,0.88000,11.983,0.20000,12.124,0.19203,,
14.5,155.752,22.071,0.90000,11.985,0.20000,12.032,0.21671,,
14.6,156.497,23.009,0.92000,11.988,0.20000,12.296,0.17482,,
14.7,157.223,23.963,0.94000,11.990,0.20000,12.606,0.20026,,
14.8,157.930,24.931,0.96000,11.992,0.20000,11.929,0.21505,,
14.9,158.618,25.914,0.98000,11.993,0.20000,11.445,0.18094,,
15.0,159.286,26.910,1.00000,11.995,0.20000,11.994,0.19898,158.190,27.476
15.1,159.934,27.919,1.02000,11.996,0.20000,12.320,0.19455,,
15.2,160.562,28.941,1.04000,11.997,0.20000,11.645,0.25212,,
15.3,161.169,29.976,1.06000,11.998,0.20000,12.496,0.19790,,
15.4,161.756,31.023,1.08000,11.999,0.20000,11.819,0.19121,,
15.5,162.321,32.081,1.10000,12.000,0.20000,11.792,0.22542,,
15.6,162.866,33.150,1.12000,12.000,0.20000,11.785,0.19692,,
15.7,163.388,34.230,1.14000,12.000,0.20000,11.673,0.22076,,
15.8,163.890,35.321,1.16000,12.000,0.20000,11.713,0.19740,,
15.9,164.369,36.421,1.18000,12.000,0.20000,11.982,0.20917,,
16.0,164.826,37.531,1.20000,11.999,0.20000,11.855,0.22243,161.284,35.066
16.1,165.261,38.649,1.22000,11.998,0.20000,12.406,0.24473,,
16.2,165.673,39.776,1.24000,11.998,0.20000,11.756,0.21825,,
16.3,166.063,40.910,1.26000,11.996,0.20000,12.090,0.16536,,
16.4,166.429,42.053,1.28000,11.995,0.20000,11.755,0.20694,,
16.5,166.773,43.202,1.30000,11.994,0.20000,12.118,0.19063,,
16.6,167.094,44.357,1.32000,11.992,0.20000,12.055,0.15196,,
16.7,167.392,45.519,1.34000,11.990,0.20000,12.044,0.19271,,
16.8,167.666,46.686,1.36000,11.988,0.20000,11.747,0.22526,,
16.9,167.917,47.859,1.38000,11.986,0.20000,12.281,0.17697,,
17.0,168.144,49.035,1.40000,11.983,0.20000,12.003,0.19337,170.199,46.136
17.1,168.348,50.216,1.42000,11.981,0.20000,12.187,0.20115,,
17.2,168.528,51.401,1.44000,11.978,0.20000,12.321,0.16282,,
17.3,168.684,52.588,1.46000,11.975,0.20000,12.290,0.18609,,
17.4,168.817,53.778,1.48000,11.971,0.20000,11.921,0.19118,,
17.5,168.925,54.971,1.50000,11.968,0.20000,12.341,0.18077,,
17.6,169.010,56.164,1.52000,11.964,0.20000,11.201,0.24998,,
17.7,169.070,57.359,1.54000,11.960,0.20000,11.688,0.23217,,
17.8,169.107,58.555,1.56000,11.956,0.20000,12.120,0.20859,,
17.9,169.120,59.750,1.58000,11.952,0.20000,12.121,0.22755,,
18.0,169.109,60.946,1.60000,11.948,0.00000,12.197,-0.00667,167.517,59.033
18.1,169.074,62.140,1.60000,11.943,0.00000,12.051,-0.01136,,
18.2,169.039,63.334,1.60000,11.938,0.00000,11.611,0.02754,,
18.3,169.005,64.527,1.60000,11.933,0.00000,11.990,0.02412,,
18.4,168.970,65.720,1.60000,11.928,0.00000,12.079,0.00536,,
18.5,168.935,66.912,1.60000,11.923,0.00000,11.948,-0.00267,,
18.6,168.900,68.104,1.60000,11.917,0.00000,11.406,0.03533,,
18.7,168.865,69.295,1.60000,11.911,0.00000,12.890,-0.00661,,
18.8,168.831,70.486,1.60000,11.905,0.00000,11.770,-0.01471,,
18.9,168.796,71.676,1.60000,11.899,0.00000,12.088,-0.01045,,
19.0,168.761,72.865,1.60000,11.893,0.00000,12.271,0.00409,168.266,74.514
19.1,168.726,74.054,1.60000,11.886,0.00000,12.391,-0.00713,,
19.2,168.692,75.242,1.60000,11.879,0.00000,12.245,-0.03632,,
19.3,168.657,76.429,1.60000,11.872,0.00000,11.771,0.01063,,
19.4,168.622,77.616,1.60000,11.865,0.00000,12.171,-0.07544,,
19.5,168.588,78.802,1.60000,11.858,0.00000,12.036,0.01729,,
19.6,168.553,79.987,1.60000,11.850,0.00000,11.642,0.00196,,
19.7,168.518,81.172,1.60000,11.843,0.00000,12.096,0.01371,,
19.8,168.484,82.356,1.60000,11.835,0.00000,11.745,0.00709,,
19.9,168.449,83.539,1.60000,11.827,0.00000,11.923,-0.00250,,
20.0,168.415,84.721,1.60000,11.819,0.00000,12.122,0.00305,169.711,87.551
20.1,168.380,85.902,1.60000,11.810,0.00000,12.130,-0.01069,,
20.2,168.346,87.083,1.60000,11.802,0.00000,11.683,-0.01429,,
20.3,168.311,88.262,1.60000,11.793,0.00000,11.897,0.00014,,
20.4,168.277,89.441,1.60000,11.784,0.00000,11.870,0.01038,,
20.5,168.242,90.619,1.60000,11.775,0.00000,11.711,0.02375,,
20.6,168.208,91.796,1.60000,11.765,0.00000,11.338,0.00579,,
20.7,168.174,92.972,1.60000,11.756,0.00000,11.293,-0.03114,,
20.8,168.139,94.147,1.60000,11.746,0.00000,11.541,0.01769,,
20.9,168.105,95.321,1.60000,11.736,0.00000,11.757,-0.00480,,
21.0,168.071,96.494,1.60000,11.726,0.00000,12.038,-0.03968,168.339,97.886
21.1,168.037,97.666,1.60000,11.716,0.00000,11.908,-0.00533,,
21.2,168.002,98.838,1.60000,11.706,0.00000,11.990,0.00272,,
21.3,167.968,100.008,1.60000,11.695,0.00000,11.808,0.00501,,
21.4,167.934,101.177,1.60000,11.685,0.00000,11.758,0.02251,,
21.5,167.900,102.345,1.60000,11.674,0.00000,11.476,-0.00840,,
21.6,167.866,103.512,1.60000,11.663,0.00000,11.900,-0.00153,,
21.7,167.832,104.677,1.60000,11.652,0.00000,11.538,-0.01749,,
21.8,167.798,105.842,1.60000,11.640,0.00000,11.112,-0.00454,,
21.9,167.764,107.005,1.60000,11.629,0.00000,11.103,-0.04192,,
22.0,167.730,108.168,1.60000,11.617,0.00000,11.883,-0.00802,168.740,107.343
22.1,167.696,109.329,1.60000,11.605,0.00000,11.836,-0.02424,,
22.2,167.662,110.489,1.60000,11.593,0.00000,11.925,-0.02154,,
22.3,167.628,111.648,1.60000,11.581,0.00000,11.542,-0.00940,,
22.4,167.594,112.805,1.60000,11.569,0.00000,11.312,0.05283,,
22.5,167.561,113.962,1.60000,11.556,0.00000,11.667,-0.06025,,
22.6,167.527,115.117,1.60000,11.544,0.00000,11.543,0.03302,,
22.7,167.493,116.271,1.60000,11.531,0.00000,11.858,0.02852,,
22.8,167.459,117.423,1.60000,11.518,0.00000,11.634,0.00859,,
22.9,167.426,118.575,1.60000,11.505,0.00000,11.351,-0.00318,,
23.0,167.392,119.725,1.60000,11.491,0.00000,11.420,-0.00588,167.132,119.014
23.1,167.359,120.873,1.60000,11.478,0.00000,10.719,0.01499,,
23.2,167.325,122.021,1.60000,11.464,0.00000,10.937,-0.00122,,
23.3,167.292,123.167,1.60000,11.451,0.00000,11.645,0.00159,,
23.4,167.258,124.311,1.60000,11.437,0.00000,11.636,0.02093,,
23.5,167.225,125.454,1.60000,11.423,0.00000,11.574,0.00864,,
23.6,167.191,126.596,1.60000,11.409,0.00000,11.229,0.00467,,
23.7,167.158,127.737,1.60000,11.395,0.00000,11.273,0.00073,,
23.8,167.125,128.876,1.60000,11.380,0.00000,11.467,0.00833,,
23.9,167.092,130.013,1.60000,11.366,0.00000,11.520,-0.02895,,
24.0,167.058,131.149,1.60000,11.351,0.00000,11.207,0.01899,167.695,132.044
24.1,167.025,132.284,1.60000,11.336,0.00000,11.376,0.01462,,
24.2,166.992,133.417,1.60000,11.321,0.00000,11.296,0.00504,,
24.3,166.959,134.549,1.60000,11.306,0.00000,11.448,-0.00349,,
24.4,166.926,135.679,1.60000,11.291,0.00000,11.360,0.04347,,
24.5,166.893,136.807,1.60000,11.276,0.00000,10.713,0.01641,,
24.6,166.860,137.934,1.60000,11.260,0.00000,11.201,0.02161,,
24.7,166.827,139.060,1.60000,11.244,0.00000,11.382,0.00021,,
24.8,166.795,140.184,1.60000,11.229,0.00000,11.312,-0.01731,,
24.9,166.762,141.306,1.60000,11.213,0.00000,10.855,-0.00245,,
25.0,166.729,142.427,1.60000,11.197,-0.18000,11.635,-0.16180,167.259,140.637
25.1,166.696,143.546,1.58200,11.181,-0.18000,11.056,-0.19561,,
25.2,166.684,144.664,1.56400,11.165,-0.18000,11.330,-0.20920,,
25.3,166.691,145.781,1.54600,11.148,-0.18000,11.444,-0.18952,,
25.4,166.719,146.895,1.52800,11.132,-0.18000,11.339,-0.16653,,
25.5,166.767,148.007,1.51000,11.115,-0.18000,11.010,-0.17120,,
25.6,166.834,149.117,1.49200,11.099,-0.18000,11.625,-0.21097,,
25.7,166.922,150.223,1.47400,11.082,-0.18000,11.089,-0.14827,,
25.8,167.029,151.326,1.45600,11.065,-0.18000,11.102,-0.15004,,
25.9,167.155,152.426,1.43800,11.048,-0.18000,11.052,-0.17456,,
26.0,167.302,153.521,1.42000,11.031,-0.18000,10.812,-0.18036,168.539,153.101
26.1,167.467,154.611,1.40200,11.014,-0.18000,11.060,-0.17586,,
26.2,167.652,155.697,1.38400,10.997,-0.18000,10.845,-0.15102,,
26.3,167.857,156.777,1.36600,10.979,-0.18000,11.527,-0.13554,,
26.4,168.080,157.852,1.34800,10.962,-0.18000,10.842,-0.19660,,
26.5,168.322,158.921,1.33000,10.944,-0.18000,11.176,-0.16747,,
26.6,168.583,159.984,1.31200,10.926,-0.18000,10.454,-0.17323,,
26.7,168.863,161.041,1.29400,10.909,-0.18000,10.560,-0.17618,,
26.8,169.161,162.090,1.27600,10.891,-0.18000,10.907,-0.16919,,
26.9,169.477,163.132,1.25800,10.873,-0.18000,10.774,-0.15978,,
27.0,169.812,164.167,1.24000,10.855,-0.18000,10.427,-0.18439,172.560,162.308
27.1,170.164,165.193,1.22200,10.837,-0.18000,11.020,-0.20029,,
27.2,170.535,166.212,1.20400,10.818,-0.18000,10.646,-0.19474,,
27.3,170.923,167.221,1.18600,10.800,-0.18000,10.855,-0.18488,,
27.4,171.328,168.222,1.16800,10.782,-0.18000,10.799,-0.19320,,
27.5,171.751,169.214,1.15000,10.763,-0.18000,10.715,-0.17810,,
27.6,172.190,170.197,1.13200,10.745,-0.18000,11.114,-0.19771,,
27.7,172.647,171.169,1.11400,10.726,-0.18000,11.009,-0.18477,,
27.8,173.120,172.132,1.09600,10.708,-0.18000,10.911,-0.16697,,
27.9,173.610,173.084,1.07800,10.689,-0.18000,10.532,-0.12716,,
28.0,174.115,174.026,1.06000,10.670,-0.18000,10.955,-0.16489,175.423,169.123
28.1,174.637,174.957,1.04200,10.651,-0.18000,10.671,-0.21040,,
28.2,175.174,175.877,1.02400,10.632,-0.18000,10.495,-0.19260,,
28.3,175.727,176.785,1.00600,10.613,-0.18000,10.388,-0.18356,,
28.4,176.295,177.681,0.98800,10.594,-0.18000,10.776,-0.18678,,
28.5,176.878,178.566,0.97000,10.575,-0.18000,10.787,-0.21482,,
28.6,177.476,179.438,0.95200,10.556,-0.18000,10.887,-0.17371,,
28.7,178.088,180.298,0.93400,10.537,-0.18000,10.602,-0.17302,,
28.8,178.715,181.145,0.91600,10.517,-0.18000,10.115,-0.19610,,
28.9,179.355,181.979,0.89800,10.498,-0.18000,10.935,-0.19511,,
29.0,180.009,182.800,0.88000,10.478,-0.18000,10.746,-0.14472,178.061,183.860
29.1,180.677,183.608,0.86200,10.459,-0.18000,10.325,-0.19215,,
29.2,181.358,184.402,0.84400,10.440,-0.18000,10.587,-0.16695,,
29.3,182.052,185.182,0.82600,10.420,-0.18000,10.336,-0.18755,,
29.4,182.758,185.948,0.80800,10.400,-0.18000,10.356,-0.16502,,
29.5,183.476,186.700,0.79000,10.381,-0.18000,10.190,-0.19036,,
29.6,184.207,187.437,0.77200,10.361,-0.18000,10.777,-0.19143,,
29.7,184.950,188.160,0.75400,10.342,-0.18000,9.969,-0.19304,,
29.8,185.703,188.868,0.73600,10.322,-0.18000,10.428,-0.15304,,
29.9,186.468,189.561,0.71800,10.302,-0.18000,10.502,-0.17124,,
30.0,187.244,190.239,0.70000,10.282,-0.18000,10.648,-0.21868,183.786,188.938
30.1,188.031,190.901,0.68200,10.262,-0.18000,10.626,-0.12213,,
30.2,188.827,191.548,0.66400,10.243,-0.18000,10.547,-0.18024,,
30.3,189.634,192.179,0.64600,10.223,-0.18000,10.640,-0.18802,,
30.4,190.450,192.795,0.62800,10.203,-0.18000,10.186,-0.18484,,
30.5,191.276,193.394,0.61000,10.183,-0.18000,10.188,-0.17618,,
30.6,192.111,193.978,0.59200,10.163,-0.18000,10.100,-0.18974,,
30.7,192.954,194.545,0.57400,10.143,-0.18000,10.232,-0.19394,,
30.8,193.806,195.095,0.55600,10.123,-0.18000,10.031,-0.15370,,
30.9,194.665,195.630,0.53800,10.103,-0.18000,10.082,-0.17312,,
31.0,195.533,196.147,0.52000,10.083,-0.18000,10.187,-0.15018,196.626,193.950
31.1,196.408,196.648,0.50200,10.063,-0.18000,9.879,-0.20376,,
31.2,197.290,197.133,0.48400,10.043,-0.18000,10.124,-0.17236,,
31.3,198.179,197.600,0.46600,10.023,-0.18000,9.693,-0.17174,,
31.4,199.075,198.050,0.44800,10.003,-0.18000,10.337,-0.14402,,
31.5,199.976,198.484,0.43000,9.983,-0.18000,9.958,-0.16271,,
31.6,200.884,198.900,0.41200,9.963,-0.18000,9.915,-0.18142,,
31.7,201.797,199.299,0.39400,9.943,-0.18000,9.833,-0.18798,,
31.8,202.715,199.680,0.37600,9.923,-0.18000,9.649,-0.18914,,
31.9,203.638,200.045,0.35800,9.903,-0.18000,9.861,-0.14871,,
32.0,204.565,200.392,0.34000,9.883,-0.18000,10.194,-0.17028,203.804,197.573
32.1,205.497,200.721,0.32200,9.863,-0.18000,10.070,-0.19387,,
32.2,206.433,201.034,0.30400,9.843,-0.18000,9.840,-0.18145,,
32.3,207.372,201.328,0.28600,9.823,-0.18000,9.658,-0.17347,,
32.4,208.314,201.605,0.26800,9.804,-0.18000,9.826,-0.20848,,
32.5,209.260,201.865,0.25000,9.784,-0.18000,10.211,-0.15213,,
32.6,210.208,202.107,0.23200,9.764,-0.18000,9.878,-0.17707,,
32.7,211.158,202.332,0.21400,9.744,-0.18000,9.664,-0.16202,,
32.8,212.110,202.538,0.19600,9.724,-0.18000,9.100,-0.18701,,
32.9,213.064,202.728,0.17800,9.704,-0.18000,10.020,-0.16415,,
33.0,214.019,202.900,0.16000,9.685,0.00000,10.504,0.01506,216.081,204.407
33.1,214.975,203.054,0.16000,9.665,0.00000,9.380,0.00961,,
33.2,215.929,203.208,0.16000,9.645,0.00000,9.515,-0.00881,,
33.3,216.881,203.362,0.16000,9.625,0.00000,9.630,-0.01261,,
33.4,217.832,203.515,0.16000,9.606,0.00000,9.889,-0.00581,,
33.5,218.780,203.668,0.16000,9.586,0.00000,9.934,0.03545,,
33.6,219.726,203.821,0.16000,9.567,0.00000,10.265,-0.00106,,
33.7,220.671,203.973,0.16000,9.547,0.00000,9.237,0.03108,,
33.8,221.613,204.125,0.16000,9.528,0.00000,9.435,-0.00628,,
33.9,222.554,204.277,0.16000,9.508,0.00000,9.346,-0.01100,,
34.0,223.493,204.429,0.16000,9.489,0.00000,9.575,-0.01177,226.412,203.089
34.1,224.429,204.580,0.16000,9.470,0.00000,9.396,-0.00466,,
34.2,225.364,204.731,0.16000,9.450,0.00000,9.702,0.01736,,
34.3,226.297,204.881,0.16000,9.431,0.00000,10.019,0.02023,,
34.4,227.228,205.031,0.16000,9.412,0.00000,9.698,0.00554,,
34.5,228.157,205.181,0.16000,9.393,0.00000,9.669,-0.01978,,
34.6,229.085,205.331,0.16000,9.374,0.00000,9.571,0.01698,,
34.7,230.010,205.480,0.16000,9.355,0.00000,9.592,-0.03994,,
34.8,230.934,205.629,0.16000,9.336,0.00000,9.590,0.02372,,
34.9,231.855,205.778,0.16000,9.317,0.00000,9.900,-0.02504,,
35.0,232.775,205.927,0.16000,9.298,0.00000,9.168,-0.02281,232.109,207.719
35.1,233.693,206.075,0.16000,9.280,0.00000,9.101,-0.04733,,
35.2,234.609,206.223,0.16000,9.261,0.00000,9.685,0.01056,,
35.3,235.523,206.370,0.16000,9.243,0.00000,9.096,-0.01850,,
35.4,236.436,206.517,0.16000,9.224,0.00000,9.755,0.00204,,
35.5,237.347,206.664,0.16000,9.206,0.00000,8.797,0.01508,,
35.6,238.255,206.811,0.16000,9.187,0.00000,9.376,-0.03899,,
35.7,239.162,206.957,0.16000,9.169,0.00000,8.621,-0.01517,,
35.8,240.068,207.103,0.16000,9.151,0.00000,9.192,-0.01448,,
35.9,240.971,207.249,0.16000,9.133,0.00000,9.238,0.00526,,
36.0,241.873,207.395,0.16000,9.115,0.00000,9.338,0.01708,242.387,211.346
36.1,242.772,207.540,0.16000,9.097,0.00000,9.280,0.00741,,
